"age","ID","clade"
"N36","HVAEP1-G004432","Hydra vulgaris"
"N36","HVAEP1-G008573","Hydra vulgaris"
"N36","HVAEP1-G015196","Hydra vulgaris"
"N36","HVAEP1-G020325","Hydra vulgaris"
"N36","HVAEP1-G024967","Hydra vulgaris"
"N36","HVAEP1-G012108","Hydra vulgaris"
"N36","HVAEP1-G028598","Hydra vulgaris"
"N36","HVAEP1-G012110","Hydra vulgaris"
"N36","HVAEP1-G001230","Hydra vulgaris"
"N36","HVAEP1-G013291","Hydra vulgaris"
"N36","HVAEP1-G018850","Hydra vulgaris"
"N36","HVAEP1-G012125","Hydra vulgaris"
"N36","HVAEP1-G019872","Hydra vulgaris"
"N36","HVAEP1-G002329","Hydra vulgaris"
"N36","HVAEP1-G026132","Hydra vulgaris"
"N36","HVAEP1-G023730","Hydra vulgaris"
"N36","HVAEP1-G017241","Hydra vulgaris"
"N36","HVAEP1-G026975","Hydra vulgaris"
"N36","HVAEP1-G013711","Hydra vulgaris"
"N36","HVAEP1-G010230","Hydra vulgaris"
"N36","HVAEP1-G021717","Hydra vulgaris"
"N36","HVAEP1-G003280","Hydra vulgaris"
"N36","HVAEP1-G001912","Hydra vulgaris"
"N36","HVAEP1-G001921","Hydra vulgaris"
"N36","HVAEP1-G002212","Hydra vulgaris"
"N36","HVAEP1-G002197","Hydra vulgaris"
"N36","HVAEP1-G001905","Hydra vulgaris"
"N36","HVAEP1-G001907","Hydra vulgaris"
"N36","HVAEP1-G002198","Hydra vulgaris"
"N36","HVAEP1-G002203","Hydra vulgaris"
"N36","HVAEP1-G001915","Hydra vulgaris"
"N36","HVAEP1-G002214","Hydra vulgaris"
"N36","HVAEP1-G002184","Hydra vulgaris"
"N36","HVAEP1-G002190","Hydra vulgaris"
"N36","HVAEP1-G002209","Hydra vulgaris"
"N36","HVAEP1-G002186","Hydra vulgaris"
"N36","HVAEP1-G002191","Hydra vulgaris"
"N36","HVAEP1-G002215","Hydra vulgaris"
"N36","HVAEP1-G002200","Hydra vulgaris"
"N36","HVAEP1-G002195","Hydra vulgaris"
"N36","HVAEP1-G002208","Hydra vulgaris"
"N36","HVAEP1-G002196","Hydra vulgaris"
"N36","HVAEP1-G002201","Hydra vulgaris"
"N36","HVAEP1-G005093","Hydra vulgaris"
"N36","HVAEP1-G026999","Hydra vulgaris"
"N36","HVAEP1-G005925","Hydra vulgaris"
"N36","HVAEP1-G015495","Hydra vulgaris"
"N36","HVAEP1-G004929","Hydra vulgaris"
"N36","HVAEP1-G002507","Hydra vulgaris"
"N36","HVAEP1-G018742","Hydra vulgaris"
"N36","HVAEP1-G012454","Hydra vulgaris"
"N36","HVAEP1-G022679","Hydra vulgaris"
"N36","HVAEP1-G013853","Hydra vulgaris"
"N36","HVAEP1-G011479","Hydra vulgaris"
"N36","HVAEP1-G020667","Hydra vulgaris"
"N36","HVAEP1-G017005","Hydra vulgaris"
"N36","HVAEP1-G011460","Hydra vulgaris"
"N36","HVAEP1-G015907","Hydra vulgaris"
"N36","HVAEP1-G015860","Hydra vulgaris"
"N36","HVAEP1-G025594","Hydra vulgaris"
"N36","HVAEP1-G025947","Hydra vulgaris"
"N36","HVAEP1-G017187","Hydra vulgaris"
"N36","HVAEP1-G013157","Hydra vulgaris"
"N36","HVAEP1-G017365","Hydra vulgaris"
"N36","HVAEP1-G007884","Hydra vulgaris"
"N36","HVAEP1-G010994","Hydra vulgaris"
"N36","HVAEP1-G017878","Hydra vulgaris"
"N36","HVAEP1-G025712","Hydra vulgaris"
"N36","HVAEP1-G005356","Hydra vulgaris"
"N36","HVAEP1-G002965","Hydra vulgaris"
"N36","HVAEP1-G018754","Hydra vulgaris"
"N36","HVAEP1-G019269","Hydra vulgaris"
"N36","HVAEP1-G024140","Hydra vulgaris"
"N36","HVAEP1-G024334","Hydra vulgaris"
"N36","HVAEP1-G015127","Hydra vulgaris"
"N36","HVAEP1-G011420","Hydra vulgaris"
"N36","HVAEP1-G024624","Hydra vulgaris"
"N36","HVAEP1-G025107","Hydra vulgaris"
"N36","HVAEP1-G009823","Hydra vulgaris"
"N36","HVAEP1-G011370","Hydra vulgaris"
"N36","HVAEP1-G026833","Hydra vulgaris"
"N36","HVAEP1-G001133","Hydra vulgaris"
"N36","HVAEP1-G008800","Hydra vulgaris"
"N36","HVAEP1-G009270","Hydra vulgaris"
"N36","HVAEP1-G026929","Hydra vulgaris"
"N36","HVAEP1-G005179","Hydra vulgaris"
"N36","HVAEP1-G006621","Hydra vulgaris"
"N36","HVAEP1-G024281","Hydra vulgaris"
"N36","HVAEP1-G003856","Hydra vulgaris"
"N36","HVAEP1-G019356","Hydra vulgaris"
"N36","HVAEP1-G019084","Hydra vulgaris"
"N36","HVAEP1-G002906","Hydra vulgaris"
"N36","HVAEP1-G016058","Hydra vulgaris"
"N36","HVAEP1-G025433","Hydra vulgaris"
"N36","HVAEP1-G015318","Hydra vulgaris"
"N36","HVAEP1-G019374","Hydra vulgaris"
"N36","HVAEP1-G020577","Hydra vulgaris"
"N36","HVAEP1-G007467","Hydra vulgaris"
"N36","HVAEP1-G020231","Hydra vulgaris"
"N36","HVAEP1-G027407","Hydra vulgaris"
"N36","HVAEP1-G020415","Hydra vulgaris"
"N36","HVAEP1-G015153","Hydra vulgaris"
"N36","HVAEP1-G008388","Hydra vulgaris"
"N36","HVAEP1-G016068","Hydra vulgaris"
"N36","HVAEP1-G013317","Hydra vulgaris"
"N36","HVAEP1-G008841","Hydra vulgaris"
"N36","HVAEP1-G015120","Hydra vulgaris"
"N36","HVAEP1-G020350","Hydra vulgaris"
"N36","HVAEP1-G013301","Hydra vulgaris"
"N36","HVAEP1-G010135","Hydra vulgaris"
"N36","HVAEP1-G001305","Hydra vulgaris"
"N36","HVAEP1-G016067","Hydra vulgaris"
"N36","HVAEP1-G019096","Hydra vulgaris"
"N36","HVAEP1-G008810","Hydra vulgaris"
"N36","HVAEP1-G016069","Hydra vulgaris"
"N36","HVAEP1-G024662","Hydra vulgaris"
"N36","HVAEP1-G026070","Hydra vulgaris"
"N36","HVAEP1-G008809","Hydra vulgaris"
"N36","HVAEP1-G008815","Hydra vulgaris"
"N36","HVAEP1-G015778","Hydra vulgaris"
"N36","HVAEP1-G023689","Hydra vulgaris"
"N36","HVAEP1-G002630","Hydra vulgaris"
"N36","HVAEP1-G007493","Hydra vulgaris"
"N36","HVAEP1-G003710","Hydra vulgaris"
"N36","HVAEP1-G027088","Hydra vulgaris"
"N36","HVAEP1-G027532","Hydra vulgaris"
"N36","HVAEP1-G025988","Hydra vulgaris"
"N36","HVAEP1-G024367","Hydra vulgaris"
"N36","HVAEP1-G027333","Hydra vulgaris"
"N36","HVAEP1-G003133","Hydra vulgaris"
"N36","HVAEP1-G010435","Hydra vulgaris"
"N36","HVAEP1-G003138","Hydra vulgaris"
"N36","HVAEP1-G027330","Hydra vulgaris"
"N36","HVAEP1-G027328","Hydra vulgaris"
"N36","HVAEP1-G027329","Hydra vulgaris"
"N36","HVAEP1-G012359","Hydra vulgaris"
"N36","HVAEP1-G012360","Hydra vulgaris"
"N36","HVAEP1-G017009","Hydra vulgaris"
"N36","HVAEP1-G028465","Hydra vulgaris"
"N36","HVAEP1-G017010","Hydra vulgaris"
"N36","HVAEP1-G005569","Hydra vulgaris"
"N36","HVAEP1-G009155","Hydra vulgaris"
"N36","HVAEP1-G025936","Hydra vulgaris"
"N36","HVAEP1-G003432","Hydra vulgaris"
"N36","HVAEP1-G025794","Hydra vulgaris"
"N36","HVAEP1-G010642","Hydra vulgaris"
"N36","HVAEP1-G007166","Hydra vulgaris"
"N36","HVAEP1-G012361","Hydra vulgaris"
"N36","HVAEP1-G012362","Hydra vulgaris"
"N36","HVAEP1-G026053","Hydra vulgaris"
"N36","HVAEP1-G026054","Hydra vulgaris"
"N36","HVAEP1-G007167","Hydra vulgaris"
"N36","HVAEP1-G022860","Hydra vulgaris"
"N36","HVAEP1-G001404","Hydra vulgaris"
"N36","HVAEP1-G015624","Hydra vulgaris"
"N36","HVAEP1-G020746","Hydra vulgaris"
"N36","HVAEP1-G018122","Hydra vulgaris"
"N36","HVAEP1-G006874","Hydra vulgaris"
"N36","HVAEP1-G011894","Hydra vulgaris"
"N36","HVAEP1-G015092","Hydra vulgaris"
"N36","HVAEP1-G021813","Hydra vulgaris"
"N36","HVAEP1-G017318","Hydra vulgaris"
"N36","HVAEP1-G011103","Hydra vulgaris"
"N36","HVAEP1-G008440","Hydra vulgaris"
"N36","HVAEP1-G008439","Hydra vulgaris"
"N36","HVAEP1-G006873","Hydra vulgaris"
"N36","HVAEP1-G002975","Hydra vulgaris"
"N36","HVAEP1-G023916","Hydra vulgaris"
"N36","HVAEP1-G023168","Hydra vulgaris"
"N36","HVAEP1-G021538","Hydra vulgaris"
"N36","HVAEP1-G024710","Hydra vulgaris"
"N36","HVAEP1-G000646","Hydra vulgaris"
"N36","HVAEP1-G027643","Hydra vulgaris"
"N36","HVAEP1-G019500","Hydra vulgaris"
"N36","HVAEP1-G028070","Hydra vulgaris"
"N36","HVAEP1-G012173","Hydra vulgaris"
"N36","HVAEP1-G004786","Hydra vulgaris"
"N36","HVAEP1-G020013","Hydra vulgaris"
"N36","HVAEP1-G020044","Hydra vulgaris"
"N36","HVAEP1-G015727","Hydra vulgaris"
"N36","HVAEP1-G002981","Hydra vulgaris"
"N36","HVAEP1-G002982","Hydra vulgaris"
"N36","HVAEP1-G006386","Hydra vulgaris"
"N36","HVAEP1-G020037","Hydra vulgaris"
"N36","HVAEP1-G003767","Hydra vulgaris"
"N36","HVAEP1-G009701","Hydra vulgaris"
"N36","HVAEP1-G026304","Hydra vulgaris"
"N36","HVAEP1-G016267","Hydra vulgaris"
"N36","HVAEP1-G009269","Hydra vulgaris"
"N36","HVAEP1-G027114","Hydra vulgaris"
"N36","HVAEP1-G003855","Hydra vulgaris"
"N36","HVAEP1-G019355","Hydra vulgaris"
"N36","HVAEP1-G020412","Hydra vulgaris"
"N36","HVAEP1-G027405","Hydra vulgaris"
"N36","HVAEP1-G019082","Hydra vulgaris"
"N36","HVAEP1-G020580","Hydra vulgaris"
"N36","HVAEP1-G002908","Hydra vulgaris"
"N36","HVAEP1-G019376","Hydra vulgaris"
"N36","HVAEP1-G027890","Hydra vulgaris"
"N36","HVAEP1-G002522","Hydra vulgaris"
"N36","HVAEP1-G027966","Hydra vulgaris"
"N36","HVAEP1-G028754","Hydra vulgaris"
"N36","HVAEP1-G028755","Hydra vulgaris"
"N36","HVAEP1-G001182","Hydra vulgaris"
"N36","HVAEP1-G003702","Hydra vulgaris"
"N36","HVAEP1-G019027","Hydra vulgaris"
"N36","HVAEP1-G020024","Hydra vulgaris"
"N36","HVAEP1-G006785","Hydra vulgaris"
"N36","HVAEP1-G009066","Hydra vulgaris"
"N36","HVAEP1-G017287","Hydra vulgaris"
"N36","HVAEP1-G001253","Hydra vulgaris"
"N36","HVAEP1-G002905","Hydra vulgaris"
"N36","HVAEP1-G025299","Hydra vulgaris"
"N36","HVAEP1-G025838","Hydra vulgaris"
"N36","HVAEP1-G010902","Hydra vulgaris"
"N36","HVAEP1-G013869","Hydra vulgaris"
"N36","HVAEP1-G004391","Hydra vulgaris"
"N36","HVAEP1-G021348","Hydra vulgaris"
"N36","HVAEP1-G002947","Hydra vulgaris"
"N36","HVAEP1-G009948","Hydra vulgaris"
"N36","HVAEP1-G013717","Hydra vulgaris"
"N36","HVAEP1-G027274","Hydra vulgaris"
"N36","HVAEP1-G010833","Hydra vulgaris"
"N36","HVAEP1-G001498","Hydra vulgaris"
"N36","HVAEP1-G021143","Hydra vulgaris"
"N36","HVAEP1-G023840","Hydra vulgaris"
"N36","HVAEP1-G001845","Hydra vulgaris"
"N36","HVAEP1-G012036","Hydra vulgaris"
"N36","HVAEP1-G016025","Hydra vulgaris"
"N36","HVAEP1-G017055","Hydra vulgaris"
"N36","HVAEP1-G011953","Hydra vulgaris"
"N36","HVAEP1-G024370","Hydra vulgaris"
"N36","HVAEP1-G004688","Hydra vulgaris"
"N36","HVAEP1-G011809","Hydra vulgaris"
"N36","HVAEP1-G012777","Hydra vulgaris"
"N36","HVAEP1-G007279","Hydra vulgaris"
"N36","HVAEP1-G022566","Hydra vulgaris"
"N36","HVAEP1-G020844","Hydra vulgaris"
"N36","HVAEP1-G022196","Hydra vulgaris"
"N36","HVAEP1-G018474","Hydra vulgaris"
"N36","HVAEP1-G015676","Hydra vulgaris"
"N36","HVAEP1-G007080","Hydra vulgaris"
"N36","HVAEP1-G020355","Hydra vulgaris"
"N36","HVAEP1-G016877","Hydra vulgaris"
"N36","HVAEP1-G008828","Hydra vulgaris"
"N36","HVAEP1-G008694","Hydra vulgaris"
"N36","HVAEP1-G009430","Hydra vulgaris"
"N36","HVAEP1-G028827","Hydra vulgaris"
"N36","HVAEP1-G027713","Hydra vulgaris"
"N36","HVAEP1-G022707","Hydra vulgaris"
"N36","HVAEP1-G019409","Hydra vulgaris"
"N36","HVAEP1-G001717","Hydra vulgaris"
"N36","HVAEP1-G002464","Hydra vulgaris"
"N36","HVAEP1-G025415","Hydra vulgaris"
"N36","HVAEP1-G020583","Hydra vulgaris"
"N36","HVAEP1-G001716","Hydra vulgaris"
"N36","HVAEP1-G005468","Hydra vulgaris"
"N36","HVAEP1-G012827","Hydra vulgaris"
"N36","HVAEP1-G015404","Hydra vulgaris"
"N36","HVAEP1-G026342","Hydra vulgaris"
"N36","HVAEP1-G001715","Hydra vulgaris"
"N36","HVAEP1-G026341","Hydra vulgaris"
"N36","HVAEP1-G012826","Hydra vulgaris"
"N36","HVAEP1-G005469","Hydra vulgaris"
"N36","HVAEP1-G022706","Hydra vulgaris"
"N36","HVAEP1-G019407","Hydra vulgaris"
"N36","HVAEP1-G016162","Hydra vulgaris"
"N36","HVAEP1-G021704","Hydra vulgaris"
"N36","HVAEP1-G004182","Hydra vulgaris"
"N36","HVAEP1-G016163","Hydra vulgaris"
"N36","HVAEP1-G019408","Hydra vulgaris"
"N36","HVAEP1-G020584","Hydra vulgaris"
"N36","HVAEP1-G007261","Hydra vulgaris"
"N36","HVAEP1-G007254","Hydra vulgaris"
"N36","HVAEP1-G007259","Hydra vulgaris"
"N36","HVAEP1-G007249","Hydra vulgaris"
"N36","HVAEP1-G007255","Hydra vulgaris"
"N36","HVAEP1-G003599","Hydra vulgaris"
"N36","HVAEP1-G015434","Hydra vulgaris"
"N36","HVAEP1-G015433","Hydra vulgaris"
"N36","HVAEP1-G003602","Hydra vulgaris"
"N36","HVAEP1-G003593","Hydra vulgaris"
"N36","HVAEP1-G003598","Hydra vulgaris"
"N36","HVAEP1-G003600","Hydra vulgaris"
"N36","HVAEP1-G018617","Hydra vulgaris"
"N36","HVAEP1-G018618","Hydra vulgaris"
"N36","HVAEP1-G018619","Hydra vulgaris"
"N36","HVAEP1-G018620","Hydra vulgaris"
"N36","HVAEP1-G017216","Hydra vulgaris"
"N36","HVAEP1-G024148","Hydra vulgaris"
"N36","HVAEP1-G019605","Hydra vulgaris"
