"","mg11 I-Cells","mg15 Very Early Oocytes","mg10 Small Oocytes","mg9 Nematocyte Precursors","mg33 Early/Mid Nematoblasts","mg3 Late Nematoblasts","mg34 Differentiating Nematocytes","mg12 Terminal Differentiating Nematocytes","mg29 Mature Nematocytes","mg5 Neural Cells A","mg6 Unknown Neural Cells 1","mg23 Unknown Neural Cells 2","mg27 Unknown Neural Cells 3","mg30 Unknown Neural Cells 4","mg32 Unknown Neural Cells 5","mg7 Gland Cells A1","mg19 Gland Cells A2","mg4 Gland Cells B1","mg31 Gland Cells B2","mg14 Gland Cells C1","mg35 Gland Cells C2","mg13 Gland Cells D1","mg37 Gland Cells D2","mg22 Gland Cells E","mg2 GastroDigestive B","mg28 GastroDigestive C","mg36 GastroDigestive D","mg20 GastroDigestive E","mg26 GastroDigestive F","mg17 Striated Muscle","mg25 Radial Smooth Muscles","mg24 Endodermal Plate","mg1 Tentacle Bulb Distal Gastroderm","mg8 Exumbrella Epidermis","mg16 Gonad Epidermis","mg18 Tentacle GFP Cells","mg21 Unknown Epithelial"
"MA0170.1 C15",0,0,1,0,0.843133216627193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89008675217085,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0092.1 Hand1::Tcf3",0.970212767551946,0.961660383590455,0.926011716428998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"MA0182.1 CG4328-RA",0,0,0.489975039905781,0,0.842041903591005,0,0,0,0,0,0,0,0,0,0,0.72772374024159,0.749365207159225,0.635550532367034,0.788433870597802,0.755032440664067,0,0.706221270627486,0.593296324317017,0.86594719269419,0,1,0,0,0,0,0,0,0,0,0,0.663768758324538,0
"MA0240.1 repo",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0597.1 THAP1",1,0.960158514062738,0.93962192443903,0.966652451212801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.937280587012885,0,0,0,0,0,0,0,0,0,0,0,0
"MA0196.1 NK7.1",0,0,1,0,0.792517788979509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0666.1 MSX1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0720.1 Shox2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0251.1 unpg",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1504.1 HOXC4",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79823792795762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0674.1 NKX6-1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1502.1 HOXB8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1507.1 HOXD4",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1505.1 HOXC8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0125.1 Nobox",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1518.1 LHX1",0,0,1,0,0,0,0,0,0,0,0.72344970342457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0910.2 HOXD8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0175.1 lms",0,0,1,0,0.7009527586013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0248.1 tup",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1418.1 IRF3",1,0,0.984891348424493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0169.1 B-H2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0220.1 en",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1499.1 HOXB4",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0662.1 MIXL1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0903.1 HOXB3",0,0,1,0,0.783287937902322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0721.1 UNCX",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0257.1 zen2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0723.1 VAX2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0132.2 PDX1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1495.1 HOXA1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0880.1 Dlx3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0748.2 YY2",1,0.897136549519499,0,0.887810355779856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87698736527114,0,0,0,0,0,0,0,0,0,0,0,0
"MA1650.1 ZBTB14",1,0.56454415569371,0,0.559656520148636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544644757152063,0,0,0,0,0,0,0,0,0,0,0,0
"MA0750.2 ZBTB7A",1,0.944613178243797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1122.1 TFDP1",1,0.78384715275705,0,0.750943858680325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1648.1 TCF12(var.2)",1,0.957946522542342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0671.1 NFIX",1,0.98523678239001,0,0.994927721941848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0733.1 EGR4",1,0.891437603296919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0695.1 ZBTB7C",1,0.994624338624339,0,0.999513115333812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0830.2 TCF4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0925.1 sma-4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0541.1 efl-1",1,0.941676561314638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0694.1 ZBTB7B",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0471.2 E2F6",1,0.994293975903614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9670243264768,0,0.990148308220598,0,0,0,0,0,0,0,0,0,0
"MA0162.4 EGR1",1,0.930667201538786,0,0.991846970000262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1107.2 KLF9",1,0.979278473184971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1517.1 KLF6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1108.2 MXI1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1623.1 Stat2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0812.1 TFAP2B(var.2)",1,0.898725195537736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1583.1 ZFP57",0.991553987151763,1,0,0.97697353332416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.950448087698326,0,0,0,0,0,0,0,0,0,0,0,0
"MA0772.1 IRF7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0522.3 TCF3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0024.3 E2F1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.743823368346915,0,0,0,0,0,0,0,0,0,0,0,0
"MA0758.1 E2F7",1,0.995072420486785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0213.1 brk",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0767.1 GCM2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0193.1 schlank",1,0.998736581497456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1153.1 Smad4",1,0.978329755880642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0161.2 NFIC",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1631.1 ASCL1(var.2)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1149.1 RARA::RXRG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1579.1 ZBTB26",0.987970276449803,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0864.2 E2F2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0746.2 SP3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0003.4 TFAP2A",1,0.929270837460544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0449.1 h",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1581.1 ZBTB6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1536.1 NR2C2(var.2)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1558.1 SNAI1",0.312076991400382,0,0,0,0,0,0,0,0,0,0.553516631845735,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0050.2 IRF1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1616.1 Prdm15",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1644.1 NFYC",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0039.4 KLF4",1,0.990814250788496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1099.2 HES1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0814.2 TFAP2C(var.2)",1,0.981385148092329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0653.1 IRF9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.950367164961972,0,0,0,0,0,0,0,0,0,0,0,0
"MA0493.1 Klf1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0811.1 TFAP2B",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0065.2 Pparg::Rxra",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0917.1 gcm2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0147.3 MYC",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0103.3 ZEB1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0790.1 POU4F1",0,0,0,0,0,0,0,0.930304825566448,1,0,0,0,0,0.580213514209435,0,0,0,0,0,0,0.61424563019014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0791.1 POU4F3",0,0,0,0,0,0,0,0.97632803618795,1,0,0,0,0,0.618828044449536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0254.1 vvl",0,0,0,0,0,0,0,1,0.957047589454311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0683.1 POU4F2",0,0,0,0,0,0,0,1,0.925031397932567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0174.1 Dbx",0,0,0,0,0.900743127217533,0,0,0,0,0,0,0,0,0,0,0.925192697523007,0.812804827917265,0.846195224187143,0.876086343581125,0.905544602504635,0,0.765272268061951,0.92606607282432,1,0,0,0,0,0,0,0,0,0,0,0,0.889236662005784,0
"MA0446.1 fkh",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916880434901081,0.951237516748606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0448.1 H2.0",0,0,0,0,0.699141310057785,0,0,0,0,0,0,0,0,0,0,1,0.75012442777691,0,0.778747596731555,0.76921761647789,0,0.598360621273662,0.618174405758826,0.838502051931862,0,0,0,0,0,0,0,0,0,0,0,0.740289202803953,0
"MA0221.1 eve",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.859177052958812,0,0,0.910968038820466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0210.1 ara",0,0,0,0.998978760481143,0.999107951732079,0,0,0,0,0,0,0,0,0,0,0.895444766942573,0.977586950104009,0,0.972039744815925,0.937245070205283,1,0.976906026391974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993063505199984,0
"MA0691.1 TFAP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0892.1 GSX1",0,0,0,0,0.886085656471923,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.883016771679907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1441.1 lim-7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.930679467246175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0921.1 ceh-48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997201285416588,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0078.1 Sox17",0,0,0,0,0,0.810885284903218,0,0,0,0,0,0,0,0,0,0.826827540576709,0.846600039211465,0.813905535150461,1,0.783723127456807,0.684850736787337,0,0,0.996853307567131,0,0.71881971619793,0,0,0,0,0,0,0,0,0,0.942807762618475,0
"MA0215.1 btn",0,0,0,0,0.998357743273734,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.985601713243472,0,0,0.99082077789471,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0615.1 Gmeb1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1563.1 SOX18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0516.2 SP2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0876.1 BSX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"MA1524.1 MSGN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"MA0070.1 PBX1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"MA0233.1 mirr",0,0,0,1,0.963042419557518,0,0,0,0,0,0,0,0,0,0,0,0.906391884103814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0180.1 Vsx2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.928731008397974,0,0,0,0.907998490850783,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0604.1 Atf1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91233665999297,0,0,0,0,0,0,0,0,0,0,0,1
"MA0498.2 MEIS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.884703599520638,1,0,0.882044238773105,0.894650478027755,0,0,0,0,0,0,0,0
