"","conReal","conShuf","allReal","allShuf","realOds","shufOdds","lor","name","fam","idx","pval","fdr","res"
"MA0510.2",286,112,2979,2651,0.106201262532492,0.0441118550610477,0.878607428417837,"RFX5","RFX-related factors",110,3.3590951560375e-13,2.10570144109814e-12,"enriched"
"MA0745.2",479,219,3585,3637,0.154217643271088,0.064072557050907,0.878348727561318,"SNAI2","More than 3 adjacent zinc finger factors",111,1.39035012567714e-21,2.04893702731368e-20,"enriched"
"MA1467.1",343,125,2748,2229,0.142619542619543,0.0594106463878327,0.875707101181378,"ATOH1(var.2)","Tal-related factors",112,6.47364035168355e-14,4.3157602344557e-13,"enriched"
"MA0144.2",191,49,2768,1625,0.0741171905316259,0.0310913705583756,0.868717189701463,"STAT3","STAT factors",113,2.81111947566738e-07,1.00363642437536e-06,"enriched"
"MA0825.1",489,131,3273,1906,0.175646551724138,0.0738028169014085,0.867076846728926,"MNT","bHLH-ZIP factors",114,1.57250063989626e-14,1.10075044792738e-13,"enriched"
"MA0600.2",267,129,2522,2712,0.11840354767184,0.0499419279907085,0.863237795197639,"RFX2","RFX-related factors",115,2.28208798704536e-13,1.44131872866023e-12,"enriched"
"MA0085.1",205,54,2815,1681,0.078544061302682,0.0331899200983405,0.861413539476432,"Su(H)","",116,1.09515230698826e-07,4.07047760119529e-07,"enriched"
"MA1525.1",286,173,3623,4949,0.0857057237039257,0.0362227805695142,0.861231392643138,"NFATC4","NFAT-related factors",117,4.63643889590249e-17,4.58189255595069e-16,"enriched"
"MA1464.1",481,140,3406,2139,0.164444444444444,0.0700350175087544,0.8535774223309,"ARNT2","PAS domain factors",118,5.97176488646638e-15,4.51917342759618e-14,"enriched"
"MA1131.1",715,145,6176,2744,0.130928401391687,0.0557906887264332,0.85304363276277,"FOSL2::JUN(var.2)","Fos-related factors, Jun-related factors",119,1.9793457551859e-17,2.003193294405e-16,"enriched"
"MA0528.2",352,64,6204,2559,0.0601503759398496,0.0256513026052104,0.852253338284029,"ZNF263","More than 3 adjacent zinc finger factors",120,1.54430612714227e-09,6.9742857354812e-09,"enriched"
"MA0024.3",462,142,3781,2523,0.139198553781259,0.0596388072238555,0.847594868247366,"E2F1","E2F-related factors",121,2.37271005377071e-15,1.86268826651158e-14,"enriched"
"MA0823.1",555,157,4155,2527,0.154166666666667,0.0662447257383966,0.844678418083102,"HEY1","Hairy-related factors",122,1.26837760316078e-16,1.18381909628339e-15,"enriched"
"MA0852.2",473,104,4870,2352,0.107573345462816,0.0462633451957295,0.843822931183332,"FOXK1","Forkhead box (FOX) factors",123,6.44177631201031e-13,3.89287201589112e-12,"enriched"
"MA0626.1",355,111,3121,2122,0.128344179320318,0.0551964196916957,0.84381746571103,"Npas2","PAS domain factors",124,2.38247409825096e-12,1.35221502873703e-11,"enriched"
"MA1619.1",328,153,2537,2533,0.148483476686283,0.0642857142857143,0.837136250237112,"Ptf1a(var.2)","Tal-related factors",125,3.86491320698065e-14,2.66108778185553e-13,"enriched"
"MA0467.1",164,58,2362,1845,0.0746132848043676,0.0324566312255176,0.83241379747364,"Crx","Paired-related HD factors",126,2.87791165194669e-07,1.01567740634403e-06,"enriched"
"MA1421.1",200,61,3228,2184,0.0660501981505945,0.0287329251059821,0.832371349520642,"TCF7L1","TCF-7-related factors",127,6.11596833218175e-08,2.33518790865121e-07,"enriched"
"MA0032.2",475,133,4789,2905,0.110106629578118,0.047979797979798,0.83066920917358,"FOXC1","Forkhead box (FOX) factors",128,7.0986671995042e-15,5.32400039962815e-14,"enriched"
"MA1529.1",396,122,3482,2296,0.128321451717434,0.0561177552897884,0.827086201279272,"NHLH2","Tal-related factors",129,5.66741527499957e-13,3.44973103695626e-12,"enriched"
"MA0607.1",265,136,2134,2325,0.141787051899411,0.0621288259479214,0.82511623031747,"Bhlha15","Tal-related factors",130,3.90675951459192e-12,2.18778532817147e-11,"enriched"
"MA1438.1",618,95,5420,1779,0.128696376509788,0.0564133016627078,0.824750983878224,"atf-7","Jun-related factors",131,1.23426839757567e-11,6.77637551610174e-11,"enriched"
"MA0743.2",247,92,3140,2537,0.085378499827169,0.0376278118609407,0.819350856511774,"SCRT1","More than 3 adjacent zinc finger factors",132,3.56189674080299e-10,1.6938906337715e-09,"enriched"
"MA0774.1",229,69,2854,1863,0.0872380952380952,0.0384615384615385,0.818982366549998,"MEIS2","TALE-type homeo domain factors",133,2.6927668033011e-08,1.06193620411874e-07,"enriched"
"MA0798.2",514,132,4860,2644,0.11826967326277,0.0525477707006369,0.811244709640509,"RFX3","RFX-related factors",134,3.62967617714789e-14,2.51977519735887e-13,"enriched"
"MA0799.1",332,163,3105,3227,0.119725928597187,0.0531984334203655,0.81117625335443,"RFX4","RFX-related factors",135,1.56901875469666e-14,1.10075044792738e-13,"enriched"
"MA1517.1",564,208,5614,4389,0.111683168316832,0.0497488639081559,0.8086783808839,"KLF6","Three-zinc finger Kruppel-related factors",136,6.9669560116957e-20,8.73469111914088e-19,"enriched"
"MA0845.1",450,167,4710,3715,0.105633802816901,0.0470687711386697,0.808368674513664,"FOXB1","Forkhead box (FOX) factors",137,2.27661413425884e-16,2.01300618187097e-15,"enriched"
"MA1578.1",1036,451,8184,7413,0.144935646334639,0.064780235564493,0.805289275408816,"VEZF1","More than 3 adjacent zinc finger factors",138,6.99913709196896e-37,9.79879192875655e-35,"enriched"
"MA0916.1",367,86,3476,1712,0.118044387262785,0.0528905289052891,0.802836431850065,"Ets21C","Ets-related factors",139,1.15631376023286e-09,5.27882368801957e-09,"enriched"
"MA0259.1",456,164,4072,3060,0.126106194690265,0.0566298342541436,0.800588413683727,"ARNT::HIF1A","PAS domain factors, PAS domain factors",140,2.18321651581107e-15,1.73009610686915e-14,"enriched"
"MA0537.1",289,124,5023,4646,0.0610477397549641,0.027421494913755,0.800328985271381,"blmp-1","More than 3 adjacent zinc finger factors",141,9.666594379118e-13,5.71826709750642e-12,"enriched"
"MA1106.1",401,120,4168,2620,0.106450756570215,0.048,0.796481487688774,"HIF1A","PAS domain factors",142,2.13079230578767e-12,1.21759560330724e-11,"enriched"
"MA0748.2",538,121,5517,2603,0.108053826069492,0.048751007252216,0.795903633687413,"YY2","More than 3 adjacent zinc finger factors",143,3.72312344583545e-13,2.31661014407539e-12,"enriched"
"MA0603.1",869,238,5269,2908,0.1975,0.0891385767790262,0.79554638308186,"Arntl","PAS domain factors",144,2.37632915362292e-20,3.07094844468193e-19,"enriched"
"MA0655.1",154,100,1609,2190,0.105841924398625,0.0478468899521531,0.793940581778801,"JDP2","Fos-related factors",145,1.87589699338157e-08,7.50358797352626e-08,"enriched"
"MA1566.1",478,127,4566,2526,0.11692759295499,0.0529387244685286,0.792419776989019,"TBX3","TBX2-related factors",146,5.14857074003053e-13,3.15678789899682e-12,"enriched"
"MA0800.1",219,56,2824,1526,0.0840690978886756,0.0380952380952381,0.791549764666666,"EOMES","TBrain-related factors",147,8.49591261492906e-07,2.68291977313549e-06,"enriched"
"MA0687.1",206,68,3122,2181,0.0706447187928669,0.0321817321344061,0.786264388100982,"SPIC","Ets-related factors",148,1.1356565145028e-07,4.20242939287379e-07,"enriched"
"MA1446.1",502,174,5131,3695,0.108446748757831,0.0494177790400454,0.785948998600982,"daf-16","Forkhead box (FOX) factors",149,2.7518409101254e-16,2.38303748918076e-15,"enriched"
"MA0796.1",137,70,1975,2125,0.0745375408052231,0.0340632603406326,0.783083507793469,"TGIF1","TALE-type homeo domain factors",150,6.13898431291862e-07,1.99102193932496e-06,"enriched"
"MA0079.4",400,184,4193,4000,0.105457421566043,0.0482180293501048,0.782574280378275,"SP1","Three-zinc finger Kruppel-related factors",151,8.17365984687893e-16,6.79789531819634e-15,"enriched"
"MA0728.1",105,38,2282,1743,0.0482315112540193,0.0222873900293255,0.771991518914207,"Nr2f6(var.2)","RXR-related receptors (NR2)",152,0.000100892928543337,0.000255271264989166,"enriched"
"MA0696.1",474,192,4937,4095,0.106206587497199,0.0491929285165257,0.76963625221864,"ZIC1","More than 3 adjacent zinc finger factors",153,1.73637015619187e-16,1.55164992680975e-15,"enriched"
