HVAEP1_G000001	HVAEP1_T000001.1
HVAEP1_G000048	HVAEP1_T000048.1
HVAEP1_G000049	HVAEP1_T000049.1
HVAEP1_G000050	HVAEP1_T000050.1
HVAEP1_G000051	HVAEP1_T000051.1
HVAEP1_G000052	HVAEP1_T000052.1
HVAEP1_G000053	HVAEP1_T000053.1
HVAEP1_G000054	HVAEP1_T000054.1
HVAEP1_G000054	HVAEP1_T000054.2
HVAEP1_G000055	HVAEP1_T000055.1
HVAEP1_G000056	HVAEP1_T000056.1
HVAEP1_G000056	HVAEP1_T000056.2
HVAEP1_G000057	HVAEP1_T000057.1
HVAEP1_G000058	HVAEP1_T000058.1
HVAEP1_G000059	HVAEP1_T000059.1
HVAEP1_G000060	HVAEP1_T000060.1
HVAEP1_G000061	HVAEP1_T000061.1
HVAEP1_G000062	HVAEP1_T000062.1
HVAEP1_G000063	HVAEP1_T000063.1
HVAEP1_G000064	HVAEP1_T000064.1
HVAEP1_G000065	HVAEP1_T000065.1
HVAEP1_G000066	HVAEP1_T000066.1
HVAEP1_G000067	HVAEP1_T000067.1
HVAEP1_G000067	HVAEP1_T000067.2
HVAEP1_G000067	HVAEP1_T000067.3
HVAEP1_G000068	HVAEP1_T000068.1
HVAEP1_G000069	HVAEP1_T000069.1
HVAEP1_G000070	HVAEP1_T000070.1
HVAEP1_G000071	HVAEP1_T000071.1
HVAEP1_G000072	HVAEP1_T000072.1
HVAEP1_G000073	HVAEP1_T000073.1
HVAEP1_G000074	HVAEP1_T000074.1
HVAEP1_G000075	HVAEP1_T000075.1
HVAEP1_G000076	HVAEP1_T000076.1
HVAEP1_G000077	HVAEP1_T000077.1
HVAEP1_G000078	HVAEP1_T000078.1
HVAEP1_G000079	HVAEP1_T000079.1
HVAEP1_G000080	HVAEP1_T000080.1
HVAEP1_G000081	HVAEP1_T000081.1
HVAEP1_G000082	HVAEP1_T000082.1
HVAEP1_G000083	HVAEP1_T000083.1
HVAEP1_G000084	HVAEP1_T000084.1
HVAEP1_G000085	HVAEP1_T000085.1
HVAEP1_G000086	HVAEP1_T000086.1
HVAEP1_G000087	HVAEP1_T000087.1
HVAEP1_G000088	HVAEP1_T000088.1
HVAEP1_G000089	HVAEP1_T000089.1
HVAEP1_G000090	HVAEP1_T000090.1
HVAEP1_G000091	HVAEP1_T000091.1
HVAEP1_G000091	HVAEP1_T000091.2
HVAEP1_G000092	HVAEP1_T000092.1
HVAEP1_G000093	HVAEP1_T000093.1
HVAEP1_G000094	HVAEP1_T000094.1
HVAEP1_G000095	HVAEP1_T000095.1
HVAEP1_G000096	HVAEP1_T000096.1
HVAEP1_G000097	HVAEP1_T000097.1
HVAEP1_G000098	HVAEP1_T000098.1
HVAEP1_G000099	HVAEP1_T000099.1
HVAEP1_G000100	HVAEP1_T000100.1
HVAEP1_G000101	HVAEP1_T000101.1
HVAEP1_G000102	HVAEP1_T000102.1
HVAEP1_G000103	HVAEP1_T000103.1
HVAEP1_G000104	HVAEP1_T000104.1
HVAEP1_G000105	HVAEP1_T000105.1
HVAEP1_G000106	HVAEP1_T000106.1
HVAEP1_G000107	HVAEP1_T000107.1
HVAEP1_G000108	HVAEP1_T000108.1
HVAEP1_G000109	HVAEP1_T000109.1
HVAEP1_G000110	HVAEP1_T000110.1
HVAEP1_G000111	HVAEP1_T000111.1
HVAEP1_G000112	HVAEP1_T000112.1
HVAEP1_G000113	HVAEP1_T000113.1
HVAEP1_G000114	HVAEP1_T000114.1
HVAEP1_G000114	HVAEP1_T000114.2
HVAEP1_G000115	HVAEP1_T000115.1
HVAEP1_G000116	HVAEP1_T000116.1
HVAEP1_G000117	HVAEP1_T000117.1
HVAEP1_G000117	HVAEP1_T000117.2
HVAEP1_G000118	HVAEP1_T000118.1
HVAEP1_G000119	HVAEP1_T000119.1
HVAEP1_G000120	HVAEP1_T000120.1
HVAEP1_G000121	HVAEP1_T000121.1
HVAEP1_G000122	HVAEP1_T000122.1
HVAEP1_G000123	HVAEP1_T000123.1
HVAEP1_G000124	HVAEP1_T000124.1
HVAEP1_G000125	HVAEP1_T000125.1
HVAEP1_G000126	HVAEP1_T000126.1
HVAEP1_G000127	HVAEP1_T000127.1
HVAEP1_G000128	HVAEP1_T000128.1
HVAEP1_G000129	HVAEP1_T000129.1
HVAEP1_G000130	HVAEP1_T000130.1
HVAEP1_G000131	HVAEP1_T000131.1
HVAEP1_G000132	HVAEP1_T000132.1
HVAEP1_G000133	HVAEP1_T000133.1
HVAEP1_G000134	HVAEP1_T000134.1
HVAEP1_G000135	HVAEP1_T000135.1
HVAEP1_G000136	HVAEP1_T000136.1
HVAEP1_G000137	HVAEP1_T000137.1
HVAEP1_G000137	HVAEP1_T000137.2
HVAEP1_G000138	HVAEP1_T000138.1
HVAEP1_G000138	HVAEP1_T000138.2
HVAEP1_G000139	HVAEP1_T000139.1
HVAEP1_G000140	HVAEP1_T000140.1
HVAEP1_G000141	HVAEP1_T000141.1
HVAEP1_G000142	HVAEP1_T000142.1
HVAEP1_G000143	HVAEP1_T000143.1
HVAEP1_G000144	HVAEP1_T000144.1
HVAEP1_G000145	HVAEP1_T000145.1
HVAEP1_G000146	HVAEP1_T000146.1
HVAEP1_G000147	HVAEP1_T000147.1
HVAEP1_G000148	HVAEP1_T000148.1
HVAEP1_G000149	HVAEP1_T000149.1
HVAEP1_G000150	HVAEP1_T000150.1
HVAEP1_G000151	HVAEP1_T000151.1
HVAEP1_G000152	HVAEP1_T000152.1
HVAEP1_G000153	HVAEP1_T000153.1
HVAEP1_G000154	HVAEP1_T000154.1
HVAEP1_G000154	HVAEP1_T000154.2
HVAEP1_G000154	HVAEP1_T000154.3
HVAEP1_G000154	HVAEP1_T000154.4
HVAEP1_G000154	HVAEP1_T000154.5
HVAEP1_G000155	HVAEP1_T000155.1
HVAEP1_G000156	HVAEP1_T000156.1
HVAEP1_G000157	HVAEP1_T000157.1
HVAEP1_G000158	HVAEP1_T000158.1
HVAEP1_G000159	HVAEP1_T000159.1
HVAEP1_G000160	HVAEP1_T000160.1
HVAEP1_G000161	HVAEP1_T000161.1
HVAEP1_G000162	HVAEP1_T000162.1
HVAEP1_G000163	HVAEP1_T000163.1
HVAEP1_G000164	HVAEP1_T000164.1
HVAEP1_G000165	HVAEP1_T000165.1
HVAEP1_G000166	HVAEP1_T000166.1
HVAEP1_G000167	HVAEP1_T000167.1
HVAEP1_G000168	HVAEP1_T000168.1
HVAEP1_G000169	HVAEP1_T000169.1
HVAEP1_G000170	HVAEP1_T000170.1
HVAEP1_G000171	HVAEP1_T000171.1
HVAEP1_G000172	HVAEP1_T000172.1
HVAEP1_G000173	HVAEP1_T000173.1
HVAEP1_G000174	HVAEP1_T000174.1
HVAEP1_G000175	HVAEP1_T000175.1
HVAEP1_G000176	HVAEP1_T000176.1
HVAEP1_G000177	HVAEP1_T000177.1
HVAEP1_G000178	HVAEP1_T000178.1
HVAEP1_G000179	HVAEP1_T000179.1
HVAEP1_G000180	HVAEP1_T000180.1
HVAEP1_G000181	HVAEP1_T000181.1
HVAEP1_G000182	HVAEP1_T000182.1
HVAEP1_G000183	HVAEP1_T000183.1
HVAEP1_G000184	HVAEP1_T000184.1
HVAEP1_G000185	HVAEP1_T000185.1
HVAEP1_G000186	HVAEP1_T000186.1
HVAEP1_G000187	HVAEP1_T000187.1
HVAEP1_G000188	HVAEP1_T000188.1
HVAEP1_G000189	HVAEP1_T000189.1
HVAEP1_G000190	HVAEP1_T000190.1
HVAEP1_G000191	HVAEP1_T000191.1
HVAEP1_G000192	HVAEP1_T000192.1
HVAEP1_G000193	HVAEP1_T000193.1
HVAEP1_G000194	HVAEP1_T000194.1
HVAEP1_G000195	HVAEP1_T000195.1
HVAEP1_G000196	HVAEP1_T000196.1
HVAEP1_G000197	HVAEP1_T000197.1
HVAEP1_G000198	HVAEP1_T000198.1
HVAEP1_G000199	HVAEP1_T000199.1
HVAEP1_G000200	HVAEP1_T000200.1
HVAEP1_G000200	HVAEP1_T000200.2
HVAEP1_G000200	HVAEP1_T000200.3
HVAEP1_G000201	HVAEP1_T000201.1
HVAEP1_G000202	HVAEP1_T000202.1
HVAEP1_G000203	HVAEP1_T000203.1
HVAEP1_G000204	HVAEP1_T000204.1
HVAEP1_G000205	HVAEP1_T000205.1
HVAEP1_G000206	HVAEP1_T000206.1
HVAEP1_G000207	HVAEP1_T000207.1
HVAEP1_G000208	HVAEP1_T000208.1
HVAEP1_G000209	HVAEP1_T000209.1
HVAEP1_G000209	HVAEP1_T000209.2
HVAEP1_G000210	HVAEP1_T000210.1
HVAEP1_G000211	HVAEP1_T000211.1
HVAEP1_G000212	HVAEP1_T000212.1
HVAEP1_G000212	HVAEP1_T000212.2
HVAEP1_G000212	HVAEP1_T000212.3
HVAEP1_G000213	HVAEP1_T000213.1
HVAEP1_G000214	HVAEP1_T000214.1
HVAEP1_G000215	HVAEP1_T000215.1
HVAEP1_G000216	HVAEP1_T000216.1
HVAEP1_G000217	HVAEP1_T000217.1
HVAEP1_G000217	HVAEP1_T000217.2
HVAEP1_G000218	HVAEP1_T000218.1
HVAEP1_G000219	HVAEP1_T000219.1
HVAEP1_G000220	HVAEP1_T000220.1
HVAEP1_G000221	HVAEP1_T000221.1
HVAEP1_G000222	HVAEP1_T000222.1
HVAEP1_G000223	HVAEP1_T000223.1
HVAEP1_G000224	HVAEP1_T000224.1
HVAEP1_G000225	HVAEP1_T000225.1
HVAEP1_G000226	HVAEP1_T000226.1
HVAEP1_G000227	HVAEP1_T000227.1
HVAEP1_G000228	HVAEP1_T000228.1
HVAEP1_G000229	HVAEP1_T000229.1
HVAEP1_G000230	HVAEP1_T000230.1
HVAEP1_G000231	HVAEP1_T000231.1
HVAEP1_G000232	HVAEP1_T000232.1
HVAEP1_G000233	HVAEP1_T000233.1
HVAEP1_G000234	HVAEP1_T000234.1
HVAEP1_G000235	HVAEP1_T000235.1
HVAEP1_G000236	HVAEP1_T000236.1
HVAEP1_G000237	HVAEP1_T000237.1
HVAEP1_G000238	HVAEP1_T000238.1
HVAEP1_G000239	HVAEP1_T000239.1
HVAEP1_G000240	HVAEP1_T000240.1
HVAEP1_G000241	HVAEP1_T000241.1
HVAEP1_G000242	HVAEP1_T000242.1
HVAEP1_G000243	HVAEP1_T000243.1
HVAEP1_G000244	HVAEP1_T000244.1
HVAEP1_G000245	HVAEP1_T000245.1
HVAEP1_G000246	HVAEP1_T000246.1
HVAEP1_G000247	HVAEP1_T000247.1
HVAEP1_G000248	HVAEP1_T000248.1
HVAEP1_G000249	HVAEP1_T000249.1
HVAEP1_G000249	HVAEP1_T000249.2
HVAEP1_G000249	HVAEP1_T000249.3
HVAEP1_G000250	HVAEP1_T000250.1
HVAEP1_G000251	HVAEP1_T000251.1
HVAEP1_G000252	HVAEP1_T000252.1
HVAEP1_G000253	HVAEP1_T000253.1
HVAEP1_G000254	HVAEP1_T000254.1
HVAEP1_G000255	HVAEP1_T000255.1
HVAEP1_G000256	HVAEP1_T000256.1
HVAEP1_G000257	HVAEP1_T000257.1
HVAEP1_G000258	HVAEP1_T000258.1
HVAEP1_G000259	HVAEP1_T000259.1
HVAEP1_G000260	HVAEP1_T000260.1
HVAEP1_G000261	HVAEP1_T000261.1
HVAEP1_G000262	HVAEP1_T000262.1
HVAEP1_G000263	HVAEP1_T000263.1
HVAEP1_G000264	HVAEP1_T000264.1
HVAEP1_G000265	HVAEP1_T000265.1
HVAEP1_G000266	HVAEP1_T000266.1
HVAEP1_G000267	HVAEP1_T000267.1
HVAEP1_G000267	HVAEP1_T000267.2
HVAEP1_G000267	HVAEP1_T000267.3
HVAEP1_G000268	HVAEP1_T000268.1
HVAEP1_G000269	HVAEP1_T000269.1
HVAEP1_G000270	HVAEP1_T000270.1
HVAEP1_G000271	HVAEP1_T000271.1
HVAEP1_G000271	HVAEP1_T000271.2
HVAEP1_G000272	HVAEP1_T000272.1
HVAEP1_G000273	HVAEP1_T000273.1
HVAEP1_G000274	HVAEP1_T000274.1
HVAEP1_G000275	HVAEP1_T000275.1
HVAEP1_G000276	HVAEP1_T000276.1
HVAEP1_G000277	HVAEP1_T000277.1
HVAEP1_G000278	HVAEP1_T000278.1
HVAEP1_G000279	HVAEP1_T000279.1
HVAEP1_G000280	HVAEP1_T000280.1
HVAEP1_G000281	HVAEP1_T000281.1
HVAEP1_G000282	HVAEP1_T000282.1
HVAEP1_G000283	HVAEP1_T000283.1
HVAEP1_G000283	HVAEP1_T000283.2
HVAEP1_G000284	HVAEP1_T000284.1
HVAEP1_G000285	HVAEP1_T000285.1
HVAEP1_G000286	HVAEP1_T000286.1
HVAEP1_G000286	HVAEP1_T000286.2
HVAEP1_G000287	HVAEP1_T000287.1
HVAEP1_G000288	HVAEP1_T000288.1
HVAEP1_G000288	HVAEP1_T000288.2
HVAEP1_G000289	HVAEP1_T000289.1
HVAEP1_G000290	HVAEP1_T000290.1
HVAEP1_G000291	HVAEP1_T000291.1
HVAEP1_G000291	HVAEP1_T000291.2
HVAEP1_G000292	HVAEP1_T000292.1
HVAEP1_G000293	HVAEP1_T000293.1
HVAEP1_G000294	HVAEP1_T000294.1
HVAEP1_G000295	HVAEP1_T000295.1
HVAEP1_G000295	HVAEP1_T000295.2
HVAEP1_G000296	HVAEP1_T000296.1
HVAEP1_G000296	HVAEP1_T000296.2
HVAEP1_G000297	HVAEP1_T000297.1
HVAEP1_G000298	HVAEP1_T000298.1
HVAEP1_G000299	HVAEP1_T000299.1
HVAEP1_G000299	HVAEP1_T000299.2
HVAEP1_G000300	HVAEP1_T000300.1
HVAEP1_G000301	HVAEP1_T000301.1
HVAEP1_G000302	HVAEP1_T000302.1
HVAEP1_G000303	HVAEP1_T000303.1
HVAEP1_G000304	HVAEP1_T000304.1
HVAEP1_G000305	HVAEP1_T000305.1
HVAEP1_G000306	HVAEP1_T000306.1
HVAEP1_G000307	HVAEP1_T000307.1
HVAEP1_G000308	HVAEP1_T000308.1
HVAEP1_G000309	HVAEP1_T000309.1
HVAEP1_G000310	HVAEP1_T000310.1
HVAEP1_G000311	HVAEP1_T000311.1
HVAEP1_G000312	HVAEP1_T000312.1
HVAEP1_G000313	HVAEP1_T000313.1
HVAEP1_G000314	HVAEP1_T000314.1
HVAEP1_G000315	HVAEP1_T000315.1
HVAEP1_G000316	HVAEP1_T000316.1
HVAEP1_G000316	HVAEP1_T000316.2
HVAEP1_G000317	HVAEP1_T000317.1
HVAEP1_G000318	HVAEP1_T000318.1
HVAEP1_G000319	HVAEP1_T000319.1
HVAEP1_G000319	HVAEP1_T000319.2
HVAEP1_G000320	HVAEP1_T000320.1
HVAEP1_G000321	HVAEP1_T000321.1
HVAEP1_G000322	HVAEP1_T000322.1
HVAEP1_G000323	HVAEP1_T000323.1
HVAEP1_G000323	HVAEP1_T000323.2
HVAEP1_G000324	HVAEP1_T000324.1
HVAEP1_G000324	HVAEP1_T000324.2
HVAEP1_G000324	HVAEP1_T000324.3
HVAEP1_G000325	HVAEP1_T000325.1
HVAEP1_G000326	HVAEP1_T000326.1
HVAEP1_G000327	HVAEP1_T000327.1
HVAEP1_G000328	HVAEP1_T000328.1
HVAEP1_G000329	HVAEP1_T000329.1
HVAEP1_G000330	HVAEP1_T000330.1
HVAEP1_G000331	HVAEP1_T000331.1
HVAEP1_G000332	HVAEP1_T000332.1
HVAEP1_G000333	HVAEP1_T000333.1
HVAEP1_G000334	HVAEP1_T000334.1
HVAEP1_G000335	HVAEP1_T000335.1
HVAEP1_G000336	HVAEP1_T000336.1
HVAEP1_G000337	HVAEP1_T000337.1
HVAEP1_G000338	HVAEP1_T000338.1
HVAEP1_G000338	HVAEP1_T000338.2
HVAEP1_G000338	HVAEP1_T000338.3
HVAEP1_G000338	HVAEP1_T000338.4
HVAEP1_G000338	HVAEP1_T000338.5
HVAEP1_G000338	HVAEP1_T000338.6
HVAEP1_G000339	HVAEP1_T000339.1
HVAEP1_G000340	HVAEP1_T000340.1
HVAEP1_G000341	HVAEP1_T000341.1
HVAEP1_G000342	HVAEP1_T000342.1
HVAEP1_G000343	HVAEP1_T000343.1
HVAEP1_G000343	HVAEP1_T000343.2
HVAEP1_G000344	HVAEP1_T000344.1
HVAEP1_G000345	HVAEP1_T000345.1
HVAEP1_G000346	HVAEP1_T000346.1
HVAEP1_G000347	HVAEP1_T000347.1
HVAEP1_G000348	HVAEP1_T000348.1
HVAEP1_G000349	HVAEP1_T000349.1
HVAEP1_G000350	HVAEP1_T000350.1
HVAEP1_G000351	HVAEP1_T000351.1
HVAEP1_G000352	HVAEP1_T000352.1
HVAEP1_G000352	HVAEP1_T000352.2
HVAEP1_G000352	HVAEP1_T000352.3
HVAEP1_G000352	HVAEP1_T000352.4
HVAEP1_G000353	HVAEP1_T000353.1
HVAEP1_G000354	HVAEP1_T000354.1
HVAEP1_G000355	HVAEP1_T000355.1
HVAEP1_G000356	HVAEP1_T000356.1
HVAEP1_G000357	HVAEP1_T000357.1
HVAEP1_G000358	HVAEP1_T000358.1
HVAEP1_G000359	HVAEP1_T000359.1
HVAEP1_G000360	HVAEP1_T000360.1
HVAEP1_G000361	HVAEP1_T000361.1
HVAEP1_G000361	HVAEP1_T000361.2
HVAEP1_G000362	HVAEP1_T000362.1
HVAEP1_G000363	HVAEP1_T000363.1
HVAEP1_G000364	HVAEP1_T000364.1
HVAEP1_G000365	HVAEP1_T000365.1
HVAEP1_G000366	HVAEP1_T000366.1
HVAEP1_G000367	HVAEP1_T000367.1
HVAEP1_G000368	HVAEP1_T000368.1
HVAEP1_G000369	HVAEP1_T000369.1
HVAEP1_G000370	HVAEP1_T000370.1
HVAEP1_G000371	HVAEP1_T000371.1
HVAEP1_G000372	HVAEP1_T000372.1
HVAEP1_G000373	HVAEP1_T000373.1
HVAEP1_G000374	HVAEP1_T000374.1
HVAEP1_G000375	HVAEP1_T000375.1
HVAEP1_G000376	HVAEP1_T000376.1
HVAEP1_G000377	HVAEP1_T000377.1
HVAEP1_G000378	HVAEP1_T000378.1
HVAEP1_G000379	HVAEP1_T000379.1
HVAEP1_G000380	HVAEP1_T000380.1
HVAEP1_G000381	HVAEP1_T000381.1
HVAEP1_G000382	HVAEP1_T000382.1
HVAEP1_G000383	HVAEP1_T000383.1
HVAEP1_G000384	HVAEP1_T000384.1
HVAEP1_G000384	HVAEP1_T000384.2
HVAEP1_G000384	HVAEP1_T000384.3
HVAEP1_G000384	HVAEP1_T000384.4
HVAEP1_G000385	HVAEP1_T000385.1
HVAEP1_G000386	HVAEP1_T000386.1
HVAEP1_G000387	HVAEP1_T000387.1
HVAEP1_G000387	HVAEP1_T000387.2
HVAEP1_G000388	HVAEP1_T000388.1
HVAEP1_G000388	HVAEP1_T000388.2
HVAEP1_G000389	HVAEP1_T000389.1
HVAEP1_G000390	HVAEP1_T000390.1
HVAEP1_G000390	HVAEP1_T000390.2
HVAEP1_G000391	HVAEP1_T000391.1
HVAEP1_G000392	HVAEP1_T000392.1
HVAEP1_G000393	HVAEP1_T000393.1
HVAEP1_G000394	HVAEP1_T000394.1
HVAEP1_G000395	HVAEP1_T000395.1
HVAEP1_G000396	HVAEP1_T000396.1
HVAEP1_G000397	HVAEP1_T000397.1
HVAEP1_G000398	HVAEP1_T000398.1
HVAEP1_G000399	HVAEP1_T000399.1
HVAEP1_G000400	HVAEP1_T000400.1
HVAEP1_G000401	HVAEP1_T000401.1
HVAEP1_G000402	HVAEP1_T000402.1
HVAEP1_G000403	HVAEP1_T000403.1
HVAEP1_G000404	HVAEP1_T000404.1
HVAEP1_G000405	HVAEP1_T000405.1
HVAEP1_G000406	HVAEP1_T000406.1
HVAEP1_G000407	HVAEP1_T000407.1
HVAEP1_G000408	HVAEP1_T000408.1
HVAEP1_G000409	HVAEP1_T000409.1
HVAEP1_G000410	HVAEP1_T000410.1
HVAEP1_G000411	HVAEP1_T000411.1
HVAEP1_G000412	HVAEP1_T000412.1
HVAEP1_G000413	HVAEP1_T000413.1
HVAEP1_G000414	HVAEP1_T000414.1
HVAEP1_G000415	HVAEP1_T000415.1
HVAEP1_G000416	HVAEP1_T000416.1
HVAEP1_G000417	HVAEP1_T000417.1
HVAEP1_G000418	HVAEP1_T000418.1
HVAEP1_G000419	HVAEP1_T000419.1
HVAEP1_G000420	HVAEP1_T000420.1
HVAEP1_G000421	HVAEP1_T000421.1
HVAEP1_G000422	HVAEP1_T000422.1
HVAEP1_G000422	HVAEP1_T000422.2
HVAEP1_G000423	HVAEP1_T000423.1
HVAEP1_G000424	HVAEP1_T000424.1
HVAEP1_G000425	HVAEP1_T000425.1
HVAEP1_G000425	HVAEP1_T000425.2
HVAEP1_G000425	HVAEP1_T000425.3
HVAEP1_G000425	HVAEP1_T000425.4
HVAEP1_G000426	HVAEP1_T000426.1
HVAEP1_G000426	HVAEP1_T000426.2
HVAEP1_G000427	HVAEP1_T000427.1
HVAEP1_G000427	HVAEP1_T000427.2
HVAEP1_G000428	HVAEP1_T000428.1
HVAEP1_G000429	HVAEP1_T000429.1
HVAEP1_G000430	HVAEP1_T000430.1
HVAEP1_G000431	HVAEP1_T000431.1
HVAEP1_G000432	HVAEP1_T000432.1
HVAEP1_G000433	HVAEP1_T000433.1
HVAEP1_G000434	HVAEP1_T000434.1
HVAEP1_G000435	HVAEP1_T000435.1
HVAEP1_G000436	HVAEP1_T000436.1
HVAEP1_G000437	HVAEP1_T000437.1
HVAEP1_G000438	HVAEP1_T000438.1
HVAEP1_G000439	HVAEP1_T000439.1
HVAEP1_G000440	HVAEP1_T000440.1
HVAEP1_G000440	HVAEP1_T000440.2
HVAEP1_G000441	HVAEP1_T000441.1
HVAEP1_G000442	HVAEP1_T000442.1
HVAEP1_G000443	HVAEP1_T000443.1
HVAEP1_G000444	HVAEP1_T000444.1
HVAEP1_G000445	HVAEP1_T000445.1
HVAEP1_G000445	HVAEP1_T000445.2
HVAEP1_G000446	HVAEP1_T000446.1
HVAEP1_G000447	HVAEP1_T000447.1
HVAEP1_G000448	HVAEP1_T000448.1
HVAEP1_G000449	HVAEP1_T000449.1
HVAEP1_G000449	HVAEP1_T000449.2
HVAEP1_G000450	HVAEP1_T000450.1
HVAEP1_G000451	HVAEP1_T000451.1
HVAEP1_G000452	HVAEP1_T000452.1
HVAEP1_G000453	HVAEP1_T000453.1
HVAEP1_G000454	HVAEP1_T000454.1
HVAEP1_G000455	HVAEP1_T000455.1
HVAEP1_G000456	HVAEP1_T000456.1
HVAEP1_G000457	HVAEP1_T000457.1
HVAEP1_G000458	HVAEP1_T000458.1
HVAEP1_G000459	HVAEP1_T000459.1
HVAEP1_G000460	HVAEP1_T000460.1
HVAEP1_G000461	HVAEP1_T000461.1
HVAEP1_G000462	HVAEP1_T000462.1
HVAEP1_G000463	HVAEP1_T000463.1
HVAEP1_G000464	HVAEP1_T000464.1
HVAEP1_G000465	HVAEP1_T000465.1
HVAEP1_G000466	HVAEP1_T000466.1
HVAEP1_G000467	HVAEP1_T000467.1
HVAEP1_G000467	HVAEP1_T000467.2
HVAEP1_G000468	HVAEP1_T000468.1
HVAEP1_G000469	HVAEP1_T000469.1
HVAEP1_G000470	HVAEP1_T000470.1
HVAEP1_G000471	HVAEP1_T000471.1
HVAEP1_G000472	HVAEP1_T000472.1
HVAEP1_G000473	HVAEP1_T000473.1
HVAEP1_G000474	HVAEP1_T000474.1
HVAEP1_G000475	HVAEP1_T000475.1
HVAEP1_G000476	HVAEP1_T000476.1
HVAEP1_G000477	HVAEP1_T000477.1
HVAEP1_G000478	HVAEP1_T000478.1
HVAEP1_G000479	HVAEP1_T000479.1
HVAEP1_G000480	HVAEP1_T000480.1
HVAEP1_G000481	HVAEP1_T000481.1
HVAEP1_G000482	HVAEP1_T000482.1
HVAEP1_G000483	HVAEP1_T000483.1
HVAEP1_G000484	HVAEP1_T000484.1
HVAEP1_G000485	HVAEP1_T000485.1
HVAEP1_G000486	HVAEP1_T000486.1
HVAEP1_G000487	HVAEP1_T000487.1
HVAEP1_G000488	HVAEP1_T000488.1
HVAEP1_G000489	HVAEP1_T000489.1
HVAEP1_G000490	HVAEP1_T000490.1
HVAEP1_G000491	HVAEP1_T000491.1
HVAEP1_G000492	HVAEP1_T000492.1
HVAEP1_G000493	HVAEP1_T000493.1
HVAEP1_G000494	HVAEP1_T000494.1
HVAEP1_G000495	HVAEP1_T000495.1
HVAEP1_G000496	HVAEP1_T000496.1
HVAEP1_G000497	HVAEP1_T000497.1
HVAEP1_G000498	HVAEP1_T000498.1
HVAEP1_G000499	HVAEP1_T000499.1
HVAEP1_G000500	HVAEP1_T000500.1
HVAEP1_G000501	HVAEP1_T000501.1
HVAEP1_G000502	HVAEP1_T000502.1
HVAEP1_G000503	HVAEP1_T000503.1
HVAEP1_G000504	HVAEP1_T000504.1
HVAEP1_G000505	HVAEP1_T000505.1
HVAEP1_G000506	HVAEP1_T000506.1
HVAEP1_G000506	HVAEP1_T000506.2
HVAEP1_G000507	HVAEP1_T000507.1
HVAEP1_G000508	HVAEP1_T000508.1
HVAEP1_G000509	HVAEP1_T000509.1
HVAEP1_G000509	HVAEP1_T000509.2
HVAEP1_G000510	HVAEP1_T000510.1
HVAEP1_G000511	HVAEP1_T000511.1
