"","ID","name","family"
"391","MA0734.2","GLI2","More than 3 adjacent zinc finger factors"
"392","MA1491.1","GLI3","More than 3 adjacent zinc finger factors"
"393","MA0735.1","GLIS1","More than 3 adjacent zinc finger factors"
"394","MA0736.1","GLIS2","More than 3 adjacent zinc finger factors"
"395","MA0737.1","GLIS3","More than 3 adjacent zinc finger factors"
"396","MA0615.1","Gmeb1","GMEB"
"397","MA0862.1","GMEB2","GMEB"
"398","MA0647.1","GRHL1","Grainyhead-related factors"
"399","MA1105.2","GRHL2","Grainyhead-related factors"
"400","MA0648.1","GSC","Paired-related HD factors"
"401","MA0891.1","GSC2","Paired-related HD factors"
"402","MA0892.1","GSX1","HOX-related factors"
"403","MA0893.2","GSX2","HOX-related factors"
"404","MA0092.1","Hand1::Tcf3","Tal-related factors, E2A-related factors"
"405","MA1638.1","HAND2","Tal-related factors"
"406","MA1099.2","HES1","Hairy-related factors"
"407","MA0616.2","HES2","Hairy-related factors"
"408","MA0821.1","HES5","Hairy-related factors"
"409","MA1493.1","HES6","Hairy-related factors"
"410","MA0822.1","HES7","Hairy-related factors"
"411","MA0894.1","HESX1","Paired-related HD factors"
"412","MA0823.1","HEY1","Hairy-related factors"
"413","MA0649.1","HEY2","Hairy-related factors"
"414","MA0739.1","Hic1","Factors with multiple dispersed zinc fingers"
"415","MA0738.1","HIC2","Factors with multiple dispersed zinc fingers"
"416","MA1106.1","HIF1A","PAS domain factors"
"417","MA0131.2","HINFP","Factors with multiple dispersed zinc fingers"
"418","MA0043.3","HLF","C/EBP-related"
"419","MA0109.1","HLTF","Myb/SANT domain factors"
"420","MA0895.1","HMBOX1","POU domain factors"
"421","MA0896.1","Hmx1","NK-related factors"
"422","MA0897.1","Hmx2","NK-related factors"
"423","MA0898.1","Hmx3","NK-related factors"
"424","MA0046.2","HNF1A","POU domain factors"
"425","MA0153.2","HNF1B","POU domain factors"
"426","MA0114.4","HNF4A","RXR-related receptors (NR2)"
"427","MA1494.1","HNF4A(var.2)","RXR-related receptors (NR2)"
"428","MA0484.2","HNF4G","RXR-related receptors (NR2)"
"429","MA1495.1","HOXA1","HOX-related factors"
"430","MA0899.1","HOXA10","HOX-related factors"
"431","MA0911.1","Hoxa11","HOX-related factors"
"432","MA0650.2","HOXA13","HOX-related factors"
"433","MA0900.2","HOXA2","HOX-related factors"
"434","MA1496.1","HOXA4","HOX-related factors"
"435","MA0158.2","HOXA5","HOX-related factors"
"436","MA1497.1","HOXA6","HOX-related factors"
"437","MA1498.1","HOXA7","HOX-related factors"
"438","MA0594.2","HOXA9","HOX-related factors"
"439","MA0901.2","HOXB13","HOX-related factors"
"440","MA0902.2","HOXB2","HOX-related factors"
"441","MA0903.1","HOXB3","HOX-related factors"
"442","MA1499.1","HOXB4","HOX-related factors"
"443","MA0904.2","HOXB5","HOX-related factors"
"444","MA1500.1","HOXB6","HOX-related factors"
"445","MA1501.1","HOXB7","HOX-related factors"
"446","MA1502.1","HOXB8","HOX-related factors"
"447","MA1503.1","HOXB9","HOX-related factors"
"448","MA0905.1","HOXC10","HOX-related factors"
"449","MA0651.1","HOXC11","HOX-related factors"
"450","MA0906.1","HOXC12","HOX-related factors"
"451","MA0907.1","HOXC13","HOX-related factors"
"452","MA1504.1","HOXC4","HOX-related factors"
"453","MA1505.1","HOXC8","HOX-related factors"
"454","MA0485.2","HOXC9","HOX-related factors"
"455","MA1506.1","HOXD10","HOX-related factors"
"456","MA0908.1","HOXD11","HOX-related factors"
"457","MA0873.1","HOXD12","HOX-related factors"
"458","MA0909.2","HOXD13","HOX-related factors"
"459","MA0912.2","HOXD3","HOX-related factors"
"460","MA1507.1","HOXD4","HOX-related factors"
"461","MA0910.2","HOXD8","HOX-related factors"
"462","MA0913.2","HOXD9","HOX-related factors"
"463","MA0486.2","HSF1","HSF factors"
"464","MA0770.1","HSF2","HSF factors"
"465","MA0771.1","HSF4","HSF factors"
"466","MA1508.1","IKZF1","Factors with multiple dispersed zinc fingers"
"467","MA0155.1","INSM1","Factors with multiple dispersed zinc fingers"
"468","MA0050.2","IRF1","Interferon-regulatory factors"
"469","MA0051.1","IRF2","Interferon-regulatory factors"
"470","MA1418.1","IRF3","Interferon-regulatory factors  "
"471","MA1419.1","IRF4","Interferon-regulatory factors  "
"472","MA1420.1","IRF5","Interferon-regulatory factors  "
"473","MA1509.1","IRF6","Interferon-regulatory factors"
"474","MA0772.1","IRF7","Interferon-regulatory factors"
"475","MA0652.1","IRF8","Interferon-regulatory factors"
"476","MA0653.1","IRF9","Interferon-regulatory factors"
"477","MA1608.1","Isl1","HD-LIM factors"
"478","MA0914.1","ISL2","HD-LIM factors"
"479","MA0654.1","ISX","Paired-related HD factors"
"480","MA0655.1","JDP2","Fos-related factors"
"481","MA0656.1","JDP2(var.2)","Fos-related factors"
"482","MA0488.1","JUN","Jun-related factors"
"483","MA1132.1","JUN::JUNB","Jun-related factors, Jun-related factors"
"484","MA1133.1","JUN::JUNB(var.2)","Jun-related factors, Jun-related factors"
"485","MA0489.1","JUN(var.2)","Jun-related factors"
"486","MA0490.2","JUNB","Jun-related factors"
"487","MA1140.2","JUNB(var.2)","Jun-related factors"
"488","MA0491.2","JUND","Jun-related factors"
"489","MA0492.1","JUND(var.2)","Jun-related factors"
"490","MA0493.1","Klf1","Three-zinc finger Krüppel-related factors"
"491","MA1511.1","KLF10","Three-zinc finger Kruppel-related factors"
"492","MA1512.1","KLF11","Three-zinc finger Kruppel-related factors"
"493","MA0742.1","Klf12","Three-zinc finger Krüppel-related factors"
"494","MA0657.1","KLF13","Three-zinc finger Krüppel-related factors"
"495","MA0740.1","KLF14","Three-zinc finger Krüppel-related factors"
"496","MA1513.1","KLF15","Three-zinc finger Kruppel-related factors"
"497","MA0741.1","KLF16","Three-zinc finger Krüppel-related factors"
"498","MA1514.1","KLF17","Three-zinc finger Kruppel-related factors"
"499","MA1515.1","KLF2","Three-zinc finger Kruppel-related factors"
"500","MA1516.1","KLF3","Three-zinc finger Kruppel-related factors"
"501","MA0039.4","KLF4","Three-zinc finger Kruppel-related factors"
"502","MA0599.1","KLF5","Three-zinc finger Krüppel-related factors"
"503","MA1517.1","KLF6","Three-zinc finger Kruppel-related factors"
"504","MA1107.2","KLF9","Three-zinc finger Kruppel-related factors"
"505","MA0618.1","LBX1","NK-related factors"
"506","MA0699.1","LBX2","NK-related factors"
"507","MA0768.1","LEF1","TCF-7-related factors"
"508","MA1518.1","LHX1","HD-LIM factors"
"509","MA0700.2","LHX2","HD-LIM factors"
"510","MA0135.1","Lhx3","HD-LIM factors"
"511","MA0704.1","Lhx4","HD-LIM factors"
"512","MA1519.1","LHX5","HD-LIM factors"
"513","MA0658.1","LHX6","HD-LIM factors"
"514","MA0705.1","Lhx8","HD-LIM factors"
"515","MA0701.2","LHX9","HD-LIM factors"
"516","MA0619.1","LIN54",""
"517","MA0702.2","LMX1A","HD-LIM factors"
"518","MA0703.2","LMX1B","HD-LIM factors"
"519","MA1520.1","MAF","Maf-related factors"
"520","MA0501.1","MAF::NFE2","Maf-related factors, Jun-related factors"
"521","MA1521.1","MAFA","Maf-related factors"
"522","MA0117.2","Mafb","Maf-related factors"
"523","MA0495.3","MAFF","Maf-related factors"
"524","MA0659.2","MAFG","Maf-related factors"
"525","MA0496.3","MAFK","Maf-related factors"
"526","MA0058.3","MAX","bHLH-ZIP factors"
"527","MA0059.1","MAX::MYC","bHLH-ZIP factors, bHLH-ZIP factors"
"528","MA1522.1","MAZ","More than 3 adjacent zinc finger factors"
"529","MA0029.1","Mecom","Factors with multiple dispersed zinc fingers"
"530","MA0052.4","MEF2A","Regulators of differentiation"
"531","MA0660.1","MEF2B","Regulators of differentiation"
"532","MA0497.1","MEF2C","Regulators of differentiation"
"533","MA0773.1","MEF2D","Regulators of differentiation"
"534","MA0498.2","MEIS1","TALE-type homeo domain factors"
"535","MA1639.1","MEIS1(var.2)","TALE-type homeo domain factors"
"536","MA0774.1","MEIS2","TALE-type homeo domain factors"
"537","MA1640.1","MEIS2(var.2)","TALE-type homeo domain factors"
"538","MA0775.1","MEIS3","TALE-type homeo domain factors"
